judul,isi
Menelisik Hak-hak Perempuan dalam Alquran,"Ada beberapa ayat dalam Alquran yang menjelaskan tentang hak-hak perempuan, terutama dalam ruang lingkup rumah tangga. Dengan adanya pembahasan ini dalam Alquran, menunjukkan bahwa Islam mengangkat kesetaraan antara laki-laki dan perempuan. Selain itu, hal ini juga mengindikasikan bahwa Islam mengangkat derajat perempuan. Hak-hak tersebut setidaknya meliputi; Pertama, hak mendapatkan mahar. Dalam prosesi ijab dan kabul, mahar atau maskawin menjadi kewajiban bagi calon pengantin laki-laki untuk diberikan kepada calon pengantin perempuan. Alquran menyinggung persoalan ini dalam surah Annisa’ ayat 4; Berikanlah mahar kepada wanita (yang kamu nikahi) sebagai pemberian yang penuh kerelaan. Kemudian, jika mereka menyerahkan kepada kamu sebagian dari (mahar) itu dengan senang hati, terimalah dan nikmatilah pemberian itu dengan senang hati. Baca Juga:Kisah Ummu Salamah Menyoal Hak Perempuan Kepada Nabi Muhammad Katashaduqaat(صدقات), menurutIbnu ‘Asyurdalam tafsirnya, dimaknai dengan “kebenaran”. Sebab, mahar dalam prosesi pernikahan diawali dengan ikatan atau janji suci, maka keberadaan mahar itu menjadi bukti dari kebenaran janji. Lebih dalam dari itu, M. Quraish Shihab, dalamTafsir al-Mishbah, menjelaskan bahwa mahar bukan hanya simbol dari janji suci. Akan tetapi, mahar juga simbol dari sebuah perjanjian untuk tidak membuka rahasia kehidupan rumah tangga. Kedua, hak mendapatkan keadilan, sebagaimana dalam surah Annisa’ ayat 3 berikut ini. Adil yang disinggung dalam ayat ini berkatan dengan masalah harta -perempuan yatim- ataupun persoalan hati. Jika kamu khawatir tidak akan mampu berlaku adil terhadap (hak-hak) perempuan yatim (bilamana kamu menikahinya), nikahilah perempuan (lain) yang kamu senangi: dua, tiga, atau empat. Akan tetapi, jika kamu khawatir tidak akan mampu berlaku adil, (nikahilah) seorang saja atau hamba sahaya perempuan yang kamu miliki. Yang demikian itu lebih dekat untuk tidak berbuat zalim. Baca Juga:Hak Waris Bagi Suami Istri dan Saudara Menurut Al-Qur’an Ada dua kata yang menjadi poin penting dalam ayat di atas, yaknituqsithuu(تُقْسِطُوْا) danta’diluu(تَعْدِلُوْا) . DalamTafsir al-Mishbahdipaparkan bahwa pendapat ulama terbagi menjadi dua, yakni  ada yang menyamakan makna dari keduanya dan ada yang membedakannya. Bagi yyang mempersamakan maknanya, maka kedua kata tersebut dimaknai adil. Sedangkan, bagi yang membedakan keduanya, berpendapat bahwatuqsithuubermakna berbuat adil di antara dua orang atau lebih, namun keadilan itu membawa kesenangan untuk semuanya. Berbeda denganta’diluuyang bermakna berbuat baik kepada orang lain atau pun terhadap diri sendiri. Akan tetapi, keadilan itu bisa saja tidak menyenangkan salah satu pihak. Ketiga, hak mendapatkan waris, sebagaimana dalam surah Annisa’ ayat 12; …Bagi mereka (para istri) seperempat harta yang kamu tinggalkan jika kamu tidak mempunyai anak. Jika kamu mempunyai anak, bagi mereka (para istri) seperdelapan dari harta yang kamu tinggalkan (setelah dipenuhi) wasiat yang kamu buat atau (dan setelah dibayar) utang-utangmu.… Dengan ditetapkannya hukum waris untuk kaum perempuan dalam Alquran, mengindikasikan bahwa Islam memuliakan dan memberikan kedudukan untuk perempuan. Sebab, sebelum Islam hadir, perempuan tidak mendapatkan hak waris, justru perempuan itu sendiri yang menjadi “harta” untuk diwariskan. Keempat, hak untuk diperlakukan dengan baik. Dalam surah Annisa’ ayat 19, Allah memerintahkan agar suami memerlakukan istrinya dengan cara yangma’rufatau baik, sebegaimana potongan ayat berikut; …Janganlah kamu menyusahkan mereka karena hendak mengambil kembali sebagian dari apa yang telah kamu berikan kepadanya, kecuali apabila mereka melakukan perbuatan keji yang nyata. Pergaulilah mereka dengan cara yang patut.… Ayat ini adalah respons Alquran terhadap tradisi Jahiliah yang kerap kali menggantungkan posisi perempuan. Di masa itu, seorang mantan suami bisa melarang mantan istrinya untuk menikah lagi. Dan juga, jika suami tidak lagi mencintai istrinya, mereka tidak menceraikannya, dan tidak memperlakukannya dengan cara yang baik. Dankelima, hak untuk dinafkahi. Surah Aththalaq ayat 7 menjelaskan tentang hak istri setelah diceraikan oleh suaminya, yakni memberikan nafkah kepada mantan istri selama masaiddah-nya. Hendaklah orang yang lapang (rezekinya) memberi nafkah menurut kemampuannya, dan orang yang disempitkan rezekinya, hendaklah memberi nafkah dari apa (harta) yang dianugerahkan Allah kepadanya. Baca Juga:Merevolusi Martabat Perempuan: Pesan QS. An-Nisa’ [4]: 19 Tafsir al-Azharmenguraikan bahwa istri harus diperlakukan dengan baik oleh suaminya, bahkan di saat keduanya telah berpisah. Hal itu bertujuan untuk menjaga martabat, hak-hak perempuan, sekaligus sebagai penghormatan terhadap istri setelah diceraikan.[]"
Ṣulḥ al-Ḥudaibiyyah dalam Perspektif Tafsīr Nuzūlī-Mauḍū‘ī,"Dalam sejarah Islam, tidak semua kemenangan hadir melalui peperangan. Ada kalanya kemenangan justru lahir dari kesediaan menahan diri, menerima kompromi, dan memilih jalur damai di tengah tekanan politik yang berat. Salah satu contoh paling penting dari hal tersebut adalah peristiwa Ṣulḥ al-Ḥudaibiyyah, perjanjian damai antara Nabi Muḥammad saw. dan kaum Quraisy pada Maret, 628 M/Żū al-Qa‘dah, 6 H. Sekilas, perjanjian itu nampak merugikan umat Islam. Beberapa klausulnya bahkan dianggap terlalu menguntungkan pihak Quraisy. Namun Al-Qur’an justru menyebut peristiwa itu sebagai “kemenangan yang nyata” (fatḥ mubīn). Di sinilah letak menariknya pembacaan Al-Qur’an secara historis-kronologis: sebuah peristiwa yang secara politik nampak sebagai kekalahan ternyata diposisikan wahyu sebagai kemenangan strategis. Allah berfirman dalam QS. al-Fatḥ [48]: 1: اِنَّا فَتَحْنَا لَكَ فَتْحًا مُّبِيْنًاۙ “Sesungguhnya Kami telah menganugerahkan kepadamu kemenangan yang nyata.” Ayat ini turun setelah peristiwa Ḥudaibiyyah. Jika dibaca melalui pendekatantafsīr nuzūlī-mauḍū‘ī, maknanya menjadi lebih menggambarkan relasi faktual-logis antara kronologi kehidupan Nabi Muhammad saw. beserta umat-Nya dan dialog Al-Qur’an. Ayat itu bukan sekedar legitimasi teologis atas sebuah perjanjian damai, tetapi juga petunjuk bahwa strategi dakwah Nabi bergerak secara gradual, realistis, dan sangat memperhatikan konteks sosial-politik. Membaca Al-Qur’an Berdasarkan Kronologi Pewahyuan Dalam diskursus studi tafsir modern, pendekatantafsīr nuzūlīberkembang sebagai metode membaca Al-Qur’an berdasarkan urutan turunnya wahyu (tartīb al-nuzūlī). Tokoh Muslim yang cukup penting dalam pengembangan metode ini adalah Muḥammad ‘Izzat Darwazah, melalui karya monumentalnyaal-Tafsīr al-Ḥadīṡ. Menurut Darwazah, pembacaan atas Al-Qur’an tidak dapat dilepaskan dari perhatian terhadap konteks sejarah yang melingkupinya. Wahyu turun secara bertahap sebagai respons atas dinamika kehidupan Nabi dan masyarakat Arab saat itu. Oleh karena itu, memahami Al-Qur’an tidak cukup hanya membaca teksnya secara parsial. Konstruksinya perihal metode yang ideal (al-ṭarīqah al-muṡlā), menekankan bahwa ayat harus dibaca dalam hubungan dengan ayat lain, dengan situasi sosialnya, bahkan dengan perkembangan dakwah Nabi dari fase Mekah hingga Madinah. Pendekatan inilah yang membuat peristiwa-peristiwa sejarah dalam sirah Nabi Muḥammad saw. memiliki relevansi besar dalam memahami pesan Al-Qur’an. Dalam konteks Ṣulḥ al-Ḥudaibiyyah, pendekatantafsīr nuzūlī-mauḍū‘īpun membantu pembaca melihat bahwa QS. al-Fatḥ tidak turun di ruang hampa. Ia hadir dalam situasi politik yang sangat kompleks: umat Islam sedang membangun legitimasi sosial, menghadapi ancaman kaum Quraisy, sekaligus mencari ruang diplomasi yang lebih luas. Melalui pendekatan ini, kemenangan tidak dipahami semata sebagai dominasi militer, melainkan sebagai keberhasilan membuka jalan dakwah secara lebih strategis. Baca juga:Mengenal Izzat Darwazah dan Model Tafsir Nuzuli Dari Umrah Ke Meja Diplomasi Peristiwa Ṣulḥ al-Ḥudaibiyyah bermula ketika Nabi Muḥammad saw. bersama sekitar 1.400 sahabat berangkat dari Madinah untuk melaksanakan umrah. Mereka tidak membawa perlengkapan perang, hanya senjata ringan yang lazim dibawa musafir Arab. Tujuannya jelas: beribadah di Ka‘bah. Namun, kaum Quraisy memandang kedatangan kaum Muslimin sebagai ancaman politik. Mereka khawatir kehadiran Nabi di Mekah akan meningkatkan legitimasi sosial Islam di hadapan suku-suku Arab. Karena itu, rombongan Muslim dicegah memasuki Mekah dan tertahan di kawasan Ḥudaibiyyah—20-an KM dari Mekah. Dalam ketegangan situasi tersebut, Nabi pun tidak memilih konfrontasi bersenjata. Sebaliknya, Ia membuka ruang negosiasi yang cerdik. Hasilnya adalah sebuah perjanjian damai yang kemudian dikenal sebagai “Ṣulḥ al-Ḥudaibiyyah”. Namun, beberapa isi perjanjian itu nampak berat bagi kaum Muslimin. Di antaranya: Sebagian sahabat merasa kecewa. Bahkan ‘Umar b. al-Khaṭṭāb, sempat mempertanyakan mengapa kaum Muslimin harus menerima syarat yang nampak tidak adil semacam itu. Secara psikologis, reaksi itu memang sangat wajar. Umat Islam saat itu merasa berada di pihak yang benar, namun justru harus menerima kompromi yang nampak merendahkan posisi mereka. Namun, Nabi melihat sesuatu yang lebih jauh daripada sekedar kemenangan sesaat. Mengapa Al-Qur’an Menyebutnya “Kemenangan Nyata”? Di sinilah letak pentingnya QS. al-Fatḥ. Ketika sebagian sahabat memandang Ṣulḥ al-Ḥudaibiyyah sebagai kemunduran politik, Al-Qur’an justru menyebutnya sebagai “fatḥ mubīn”. Dalam pembacaantafsīr nuzūlī-mauḍū‘ī, istilah “kemenangan” di sini pun tidak semata menunjuk pada penaklukan fisik. Kemenangan yang dimaksud pada gilirannya adalah terbukanya ruang sosial baru bagi dakwah Islam. Sebelum Ṣulḥ al-Ḥudaibiyyah, hubungan antara Quraisy dan kaum Muslimin selalu berada dalam ketegangan perang. Situasi itu membuat banyak suku Arab enggan mendekat kepada Islam karena khawatir terseret konflik politik. Akan tetapi, setelah adanya perjanjian damai ini, suasana sosial menjadi lebih stabil. Dan dalam kondisi damai inilah interaksi antar komunitas berlangsung lebih intensif. Orang-orang Arab mulai mengenal Islam secara lebih dekat tanpa bayang-bayang peperangan. Hasilnya pun sangat signifikan: jumlah orang yang masuk Islam setelah Ṣulḥ al-Ḥudaibiyyah meningkat drastis, termasuk tokoh penting militer Quraisy seperti: Khālid b. Walīd, ‘Amr b. al-Āṣ, dan ‘Uṡmān b. Ṭalkhah. Secara strategis, perjanjian ini juga memberi Nabi kesempatan memperluas jaringan diplomasi ke luar Jazirah Arab. Pada periode inilah Nabi mulai mengirim surat kepada berbagai penguasa besar seperti Heraklius di Romawi dan Kisra Persia. Artinya, Ṣulḥ al-Ḥudaibiyyah bukan sekedar jeda perang. Ia merupakan titik transformasi dakwah Islam dari gerakan komunitas lokal menuju misi sosial-keagamaan yang lebih universal. Baca juga:Mengenal al-Fath, Salah Satu Surah yang Dicintai Rasulullah Saw Strategi Damai Sebagai Dakwah Salah satu pelajaran penting dari Ṣulḥ al-Ḥudaibiyyah ini tidak lain adalah bahwa dakwah tidak selalu bergerak melalui konfrontasi. Dalam banyak situasi, strategi damai justru menjadi lebih efektif untuk membuka ruang perubahan sosial. Nabi nampak memahami bahwa tujuan utama dakwah bukan memenangkan konflik jangka pendek, tetapi memastikan pesan Islam dapat diterima masyarakat secara luas. Oleh karena itu, Ia juga rela menerima beberapa syarat yang secara politis nampak tidak menguntungkan demi tujuan yang lebih besar. Dalam konteks ini, QS. al-Fatḥ menjadi semacam legitimasi teologis atas strategi damai Nabi. Wahyu memberi pesan bahwa kesabaran politik, diplomasi, dan kemampuan membaca momentum sosial merupakan bagian dari kemenangan itu sendiri. Pendekatan ini juga sangat berbeda dengan cara pandang yang menyederhanakan sejarah Islam semata sebagai ekspansi militer. Justru dalam peristiwa Ṣulḥ al-Ḥudaibiyyah nampak bahwa Islam berkembang pesat ketika ruang dialog dan interaksi sosial terbuka lebih luas. Hal tersebut sekaligus menunjukkan bahwa Nabi bukan hanya figur spiritual, tetapi juga pemimpin sosial yang memiliki kecakapan membaca realitas politik secara matang. Tafsir yang Tidak Terputus dari Realitas Pendekatan historis-kronologis semacamtafsīr nuzūlīpada gilirannya menawarkan satu pelajaran penting dalam membaca Al-Qur’an: teks wahyu selalu berdialog dengan realitas pada masa ia diturunkan. Ayat-ayat Al-Qur’an tidak turun dalam ruang abstrak. Ia hadir menjawab problem konkret masyarakat, merespons dinamika sosial, dan mengarahkan perubahan secara bertahap. Oleh karena itu, memahami konteks pewahyuan menjadi penting agar pesan Al-Qur’an tidak dipahami secara kaku maupun parsial semata. Dalam kasus Ṣulḥ al-Ḥudaibiyyah, pembacaan yang hanya berfokus pada teks tanpa konteks mungkin akan kesulitan memahami mengapa sebuah kompromi politik disebut kemenangan. Namun ketika ayat dibaca bersama konteks sejarahnya, maknanya menjadi jauh lebih komprehensif. Rupanya kemenangan tidak selalu identik dengan dominasi. Terkadang kemenangan justru terletak pada kemampuan menahan ego kolektif demi masa depan yang lebih besar. Di sinilah relevansi pendekatan historis-kronologis dalam diskursus tafsir modern-kontemporer. Ia membantu pembaca melihat bahwa Al-Qur’an bukan sekedar kitab hukum atau doktrin semata, melainkan juga kitab yang merekam proses transformasi sosial secara gradual. Baca juga:Hikmah Sirah Nabawiyah sebagai Pedoman Hidup Relevansi Ṣulḥ al-Ḥudaibiyyah Hari Ini Peristiwa Ṣulḥ al-Ḥudaibiyyah pun menyimpan pesan penting bagi masyarakat Muslim kontemporer, terutama di tengah budaya sosial yang semakin mudah terjebak dalam polarisasi dan konflik. Sering kali kemenangan dipahami secara hitam-putih: menang berarti mengalahkan lawan, sedangkan kompromi dianggap kelemahan. Padahal, sejarah Nabi menunjukkan hal yang berbeda. Ada situasi ketika kompromi strategis justru menjadi jalan menuju perubahan yang lebih besar. Ṣulḥ al-Ḥudaibiyyah mengajarkan bahwa perdamaian bukan serta-merta tanda ketakutan, melainkan bentuk kecerdasan membaca realitas. Nabi memahami kapan harus tegas dan kapan harus membuka ruang negosiasi. Lebih jauh, peristiwa ini juga mengingatkan bahwa dakwah Islam pada dasarnya bertumpu pada perluasan penerimaan sosial, bukan semata penaklukan politik. Ketika masyarakat merasa aman dan ruang interaksi terbuka, pesan Islam lebih mudah diterima. Dalam konteks Indonesia yang plural, pelajaran ini menjadi sangat relevan. Kehidupan sosial yang damai, dialogis, dan terbuka justru lebih memungkinkan nilai-nilai Islam berkembang secara substantif.Wallahu a’lam."
"Walid dan Ab, Dua Istilah Bapak dalam Al-Qur’an","Ada dua term yang menarik untuk dikaji, karena beberapa ulama berbeda pendapat dan banyak orang yang keliru dalam penggunaannya; yaituwaliddanab. Tulisan ini sepenuhnya bukanlah pendapat penulis. Tetapi merujuk ayat al-Qur’an yang ditafsirkan oleh para mufasir. Perbedaan pendapat muncul ketika memahami manakah dari kedua kata ini yang menunjuk ayah kandung, apakahwalidatauab. Kelompok pertama memahami kataabsebagai ayah kandung. Sedangkan kelompok kedua memahamiwalidsebagai ayah kandung. Katawalidterambil dari katawaladyang berarti anak yang dilahirkan. Sehingga bapaknya disebutwalid. Sedangkan secara bahasa,abberarti setiap orang yang menjadi terwujud, memperbaiki, atau kemunculan sesuatu yang dinamai ayah (Mufradat Alfaz Al-Qur’an). Sekilas tidak ada beda makna keduanya, sama-sama merujuk kepada sosok ayah. MenurutThabathaba’i, katawaliddigunakan oleh al-Qur’an untuk menunjuk ayah kandung, sedangkan kataabgunakan untuk menunjuk makna kakek atau paman dalam surah Al-Baqarah: 133 dan Yusuf: 38. Namun, ini kemudian dibantah olehQuraish Shihabyang menyebutkan bahwa kedua kata tersebut, baikwalidataupunabdigunakan dalam penyebutan untuk menunjuk makna ayah kandung. Misalnya dalam surah Yusuf ayat 4, kataabdigunakan untuk menunjuk ayah kandung. Dan dalam surah Ibrahim ayat 41 katawalidmenunjukkan makna ayah kandung atau orang tua kandung. Baca juga:Menimbang Ulang Kata Pepatah “Banyak Anak Banyak Rezeki” Menurutal-Raghib Al-Ishfahani, makna kataabitu lebih luas cakupannya dari padawalid.Abdalam bahasa Arab digunakan dalam beberapa istilah. Di antaranya أبو الاضيف untuk orang yang sering mengunjungi sahabat-sahabatnya. Ada juga istilah ابو الحرب (bapak perang), sebutan untuk orang yang semangat perangnya berkobar-kobar. Ada juga istilah أبو عذرتها (bapak keperawanan) sebutan untuk orang yang telah menikahi seorang gadis yang perawan. Paman bisa juga disebut sebagaiabapabila disandingkan dengan ayah, sehingga sebutannya menjadiabawaini(ابوين). Kakek atau nenek moyang juga bisa diistilahkan sebagaiab,bahkan guru-guru yang mendidik dan mangajarkan ilmu juga bisa disebut sebagaiabseperti sebutan yang sering kita dengar,abur ruh(أبو الروح). Nabi Muhammad saw. sendiri disebut sebagaiAbul Mu’minin(Bapak orang-orang Muslim), sehingga istri-istri Nabi disebut sebagaiUmmul Mu’minin(Ibunya orang-orang Muslim). Di segmen yang lain, Mutawalli Asy-Sya’rawi yang dikutip oleh M Quraish Shihab dalamTafsir Al-Misbahmenyatakan bahwa apabila kataabdirangkaikan dengan nama orang, maka kataabyang dimaksud bukanlah ayah kandung. Misalnya dalam surah al-An’am ayat 74. Makna katawalid, kalau kita merujuk kepada apa yang dijelaskan olehal-Raghib Al-Ishfahani, kata ini hanya menunjukkan makna yang dilahirkan, dalam artian ibunyawalidahdan ayahnya disebutwalid. Maka maknawalidini hanya terbatas kepada ayah kandung atau ayah biologis. Sedangkan kataabtadi, maknanya beragam dan penyebutannya dalam al-Qur’an bisa untuk menunjuk ayah kandung, paman, atau kakek. Baca juga:Tahukah Anda Perbedaan Makna Antara Kata Walid (وَالِدٌ) dan Abu (أَبُوْ) dan Kata Umm (أم) dan Walidah (وَالِدَة)? Kesimpulannya adalah bahwa menurut pendapat ulama yang kita rujuk,waliddanabini ada persamaan dan perbedaan penggunaannya.Walidkhusus penyebutannya untuk ayah kandung. Sedangkanabbisa digunakan untuk penyebutan ayah kandung juga. Selain ituabbisa dipakai untuk menyebut paman sebagai saudara kandung ayah, kakek sebagai orangtua ayah, ataupun guru yang telah mendidik dan mengemban sebagian tanggung jawab dan tugas ayah. Tulisan ini sedikit berbeda dengan apa yang dikemukan oleh Prof. Dr. Ahmad Thib Raya yang menyatakan bahwaabitu adalah ayah hakiki atau ayah biologis, sedangkanwalidadalah ayah majazi yang mengasuh, membesarkan, dan mendidik. Kalau menurut hasil tinjauan kami, kesimpulan beliau kurang tepat.Wallahua’lam."
Menjaga Laut dan Mutiara; Tadabbur Ekologis Q.S. Arrahmān: 22,"Cara memahami Alquran hari ini sering bergerak di dua kutub yang saling berjauhan. Di satu sisi, ada pembacaan yang terlalu tekstual hingga ayat hanya dipahami sebagai bacaan ritual tanpa kaitan dengan realitas kehidupan. Di sisi lain, ada pula pembacaan yang terlalu memaksakan sains modern ke dalam Alquran, seakan seluruh ayat harus cocok dengan penemuan ilmiah terbaru. Akibatnya, Alquran kadang kehilangan fungsi utamanya sebagai kitab petunjuk yang menghidupkan kesadaran manusia terhadap diri, alam, dan Tuhan. Padahal, Alquran tidak hanya berbicara tentang hubungan manusia dengan ibadah personal. Banyak ayat yang justru mengajak manusia memperhatikan alam sebagai tanda kebesaran Allah. Laut, langit, hujan, tumbuhan, hewan, hingga pergantian malam dan siang disebut berulang kali agar manusia berpikir dan merenung. Dalam konteks inilah, pembacaan multidisipliner menjadi penting bukan untuk memaksakan Alquran menjadi buku sains, melainkan agar pesan etik dan spiritualnya dapat berdialog dengan persoalan dunia modern. Baca Juga:Tafsir Surat Ar-Rahman Ayat 19-21: Fenomena Pertemuan Dua Lautan Alquran dan Pesan Alam Salah satu ayat yang menarik dibaca melalui pendekatan ini adalah firman Allah dalam Q.S. Ar-Rahmān [55]: 22. “Dari keduanya keluar mutiara dan marjan.” (Q.S. Ar-Rahmān [55]: 22) Ayat ini berada dalam rangkaian panjang surah ar-Raḥmān yang menjelaskan berbagai nikmat Allah kepada manusia. Setelah menjelaskan tentang dua lautan yang bertemu, Alquran menyebut bahwa dari keduanya keluarlu’lu’danmarjān. Mutiara dan Marjan dalam Penafsiran ‘Ulama DalamTafsīr al-Baghawīdijelaskan bahwalu’lu’merupakan mutiara besar, sedangkanmarjāndipahami sebagai mutiara-mutiara kecil, meskipun terdapat pula pendapat lain yang memaknaimarjānsebagai batu atau manik merah dari laut. Sementara itu,Tafsīr al-Wasīṭmenjelaskan bahwa mutiara danmarjānbukan sekadar benda mati, melainkan bagian dari kehidupan laut yang terbentuk melalui proses alamiah di dalam ekosistem laut. Marjāndigambarkan sebagai organisme laut yang membentuk gugusan karang dengan warna-warna yang indah dan beragam. Dengan demikian, ayat ini tidak hanya menghadirkan gambaran tentang perhiasan bernilai tinggi, tetapi juga mengarahkan perhatian manusia pada kekayaan dan kompleksitas kehidupan laut yang menjadi bagian dari nikmat Allah Swt. Menariknya, ayat ini tidak menggunakan bentuk kata kerja lampau, tetapi memakai kata يَخْرُجُ (yakhruju) yang berasal dari akar kata خ ر ج (kharaja). DalamLisān al-‘Arabkarya Ibn Manẓūr dijelaskan bahwaal-khurūjberarti “keluar” dan merupakan lawan dari “masuk” (naqīḍ al-dukhūl) (Ibn Manẓūr,Lisān al-‘Arab, jilid 2, hlm. 249). Sementara itu, al-Rāghib al-Aṣfahānī dalamal-Mufradāt fī Gharīb al-Qur’ānmenjelaskan bahwa kharaja bermakna “muncul atau keluar dari tempat dan keadaannya” (baraza min maqarrihi aw ḥālihi) (al-Aṣfahānī,al-Mufradāt fī Gharīb al-Qur’ān, hlm. 278). Karena berbentukfi‘il muḍāri‘, katayakhrujumemberi kesan proses yang sedang dan terus berlangsung, bukan sesuatu yang selesai pada masa lampau. Laut dalam ayat ini seolah digambarkan bukan sebagai ruang mati yang hanya menyimpan mutiara dan marjan, tetapi sebagai ekosistem hidup yang terus memunculkan nikmat dari dalamnya. Dari titik inilah, ayat tersebut dapat dibaca sebagai isyarat ekologis bahwa keberlanjutan hasil laut sangat bergantung pada keberlangsungan dan kesehatan ekosistemnya sendiri. Ketika ayat dibaca berdampingan dengan ilmu kelautan modern, mutiara dan marjan ternyata bukan sekadar simbol keindahan. Mutiara dihasilkan oleh tiram laut yang hidup pada lingkungan tertentu dengan kondisi air yang relatif stabil dan bersih. Sementaramarjānketika dibaca sebagai karang yang indah ia adalah organisme hidup yang sangat sensitif terhadap perubahan suhu, pencemaran, dan kerusakan ekosistem laut. Baca Juga:Q.S Arrum (41): Makna Laallahum Yarjiūn sebagai Panggilan Taubat Ekologis Lembaga kelautan sepertiNOAA, Coral reef ecosystemsmenjelaskan bahwa terumbu karang menopang sebagian besar kehidupan laut dunia. Banyak spesies ikan berkembang dan berlindung di kawasan karang. Namun hari ini, jika kerusakan terumbu karang terus meningkat akibat polusi, penangkapan ikan berlebih, hingga perubahan iklim. Laut yang dahulu menjadi sumber kehidupan perlahan kehilangan kemampuannya untuk “terus memberi”. Dalam konteks ini, katayakhrujumenjadi terasa sangat relevan. Laut memang dapat terus menghasilkan kekayaan, tetapi keberlanjutan itu tidak berdiri sendiri. Ada tanggung jawab manusia di dalamnya. Jika manusia merusak ekosistem laut, maka proses “keluar”-nya mutiara dan marjan juga ikut terancam. Tentu perlu ditegaskan bahwa ayat ini bukan ayat sains dalam pengertian teknis. Alquran tidak sedang menjelaskan teori konservasi laut secara ilmiah. Karena itu, pembacaan seperti ini lebih tepat dipahami sebagai tadabbur kontekstual, bukan klaim tafsir ilmiah yang mutlak. Ayat dijadikan titik refleksi untuk membangun kesadaran etik terhadap alam. Baca Juga:Mensyukuri Eksistensi Laut Bagi Umat Manusia Hari ini, persoalan lingkungan bukan lagi isu kecil. Laut dipenuhi sampah plastik, terumbu karang rusak, dan eksploitasi sumber daya laut terus meningkat. Ironisnya, manusia tetap menikmati hasil laut sambil perlahan menghancurkan tempat lahirnya hasil tersebut. Dalam situasi seperti ini, Alquran dapat dibaca sebagai pengingat moral bahwa nikmat Allah tidak boleh dipisahkan dari tanggung jawab manusia untuk menjaganya. Barangkali, mendustakan nikmat Tuhan bukan hanya berarti mengingkari-Nya dengan lisan. Merusak sumber kehidupan sambil terus mengambil manfaat darinya juga dapat menjadi bentuk pengingkaran yang lain. Sebab syukur tidak cukup berhenti pada ucapan, tetapi harus hadir dalam tindakan nyata."
